Categoría,Medicamento,Para qué sirve,Dosis terapéutica,Dosis máxima,Precauciones,Efectos secundarios,Dieta especial
Antihistamínicos,Clorfenamina,"Trata síntomas de alergia: estornudos, secreción nasal, picor, ojos rojos.","4 mg cada 4-6 horas (oral)","24 mg/día (6 comprimidos de 4 mg)","Alergia a componentes, otros medicamentos, asma, glaucoma, diabetes, problemas cardíacos, presión alta, dificultad para orinar, úlceras, convulsiones, tiroides, embarazo/lactancia. Causa somnolencia.","Somnolencia, boca/garganta seca, náuseas, vómitos, estreñimiento, pérdida apetito, dolor cabeza, aumento congestión pecho. Graves: problemas vista, dificultad orinar.","Generalmente no es necesario cambiar la dieta."
Antihistamínicos,Levocetirizina,"Trata síntomas de alergia y urticaria: estornudos, secreción nasal, picor, ojos rojos.","5 mg 1 vez al día","5 mg/día","Alergia a componentes, otros medicamentos, problemas renales, embarazo/lactancia. Causa somnolencia. Puede causar picazón intensa al suspender uso prolongado.","Somnolencia, cansancio. Graves: urticaria, erupción, picor, hinchazón extremidades, picor días después de suspender uso prolongado.","Generalmente no es necesario cambiar la dieta."
Antihistamínicos,Loratadina,"Trata síntomas de alergia: estornudos, secreción nasal, picor, ojos rojos. También picor/enrojecimiento por urticaria.","10 mg 1 vez al día","10 mg/día","Alergia a componentes, otros medicamentos, problemas renales o hepáticos, embarazo/lactancia.","Dolor cabeza, somnolencia, cansancio. Graves: erupción, urticaria, picor, dificultad respirar/tragar, hinchazón cara.","Generalmente no es necesario cambiar la dieta."
Antihistamínicos,Desloratadina,"Trata síntomas de alergia y urticaria: estornudos, secreción nasal, picor, ojos rojos. Reduce picor y ronchas.","5 mg 1 vez al día","5 mg/día","Alergia a componentes, otros medicamentos, problemas renales o hepáticos, embarazo/lactancia.","Dolor cabeza, náuseas, diarrea, mareos, dolor garganta, boca seca, dolor muscular, cansancio, somnolencia. Graves: erupción, picor, urticaria, dificultad respirar/tragar, hinchazón.","Generalmente no es necesario cambiar la dieta."
Antihistamínicos,Cetirizina,"Trata síntomas de alergia y picor/enrojecimiento por urticaria: estornudos, secreción nasal, picor, ojos rojos.","10 mg 1 vez al día","10 mg/día","Alergia a componentes, otros medicamentos, problemas renales o hepáticos, embarazo/lactancia. Causa somnolencia. Puede causar picazón intensa al suspender.","Somnolencia, cansancio excesivo, boca seca. Graves: erupción, dificultad respirar/tragar.","Generalmente no es necesario cambiar la dieta."
Antihistamínicos,Fexofenadina,"Trata síntomas de alergia y picor/enrojecimiento por urticaria: secreción nasal, estornudos, ojos rojos, picor.","60 mg cada 12h o 120 mg 1 vez/día","180 mg/día","Alergia a componentes, otros medicamentos, urticaria inusual, enfermedad renal, embarazo/lactancia.","Dolor cabeza, somnolencia, cansancio, indigestión, náuseas. Graves: urticaria, erupción, picor, dificultad respirar/tragar, hinchazón, urticaria >6 semanas.","Generalmente no es necesario cambiar la dieta."
Antihistamínicos,Hidroxicina,"Alivia picor por alergias en piel, ansiedad, tensión, sedante antes/después de cirugía.","Alergias: 25 mg cada 6-8h; Ansiedad: 50-100 mg/día; Sedante: 25-50 mg a la noche","100 mg/día","Alergia a componentes, otros medicamentos, embarazo/lactancia. Causa somnolencia. No amamantar.","Boca seca, confusión, mareos, dolor cabeza. Graves: temblor involuntario, convulsiones, llagas con pus, hinchazón en pierna con fiebre.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Losartán,"Presión arterial alta, riesgo de ACV en hipertensos con hipertrofia VI, enfermedad renal en diabetes tipo 2.","50 mg 1 vez/día","100 mg/día","Alergia a componentes, interacción con AINEs/aspirina/potasio, insuficiencia cardíaca, enf. renal/hepática, lactancia. Puede causar mareos.","Dolor piernas/rodillas/espalda, calambres/debilidad, diarrea, acidez, disminución sensibilidad. Graves: inflamación, ronquera, dificultad respiración, dolor pecho.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Valsartán,"Presión arterial alta (≥1 año), insuficiencia cardíaca, mejora supervivencia tras infarto.","80-160 mg 1 vez/día","320 mg/día","Alergia a componentes, interacción con AINEs/aspirina/potasio, obstrucción biliar, enf. cardíaca/renal/hepática, lactancia. Puede causar mareos.","Dolor cabeza, cansancio, náuseas, diarrea, dolor estómago/espalda/articulaciones, visión borrosa, tos, sarpullido. Graves: inflamación, ronquera, dificultad respiración, aumento peso.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Candesartán,"Presión arterial alta, insuficiencia cardíaca congestiva.","8-16 mg 1 vez/día","32 mg/día","Alergia a componentes, interacción con AINEs/potasio, enf. cardíaca/renal/hepática, lactancia. Puede causar mareos.","Dolor cabeza/espalda/garganta. Graves: inflamación, ronquera, dificultad respiración.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Telmisartán,"Presión arterial alta. Riesgo cardiovascular en mayores de 55 años.","40 mg 1 vez/día","80 mg/día","Alergia a componentes, interacción con AINEs/potasio, insuficiencia cardíaca, obstrucción biliar, diabetes, enf. renal/hepática, lactancia. Causa somnolencia.","Dolor espalda, dolor/congestión sinusal, diarrea. Graves: inflamación, ronquera, dificultad respiración, dolor/calambres piernas al caminar, ampollas.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Irbesartán,"Presión arterial alta, enfermedad renal por diabetes tipo 2 con HTA.","150 mg 1 vez/día","300 mg/día","Alergia a componentes, interacción con AINEs/aspirina/potasio, insuficiencia cardíaca, enf. renal, lactancia. Puede causar mareos.","Diarrea, acidez, cansancio excesivo. Graves: inflamación, ronquera, dificultad respiración.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Olmesartán,"Presión arterial alta (>6 años).","20 mg 1 vez/día","40 mg/día","Alergia a componentes, interacción con AINEs/potasio, insuficiencia cardíaca, enf. renal/hepática, lactancia. Puede causar mareos.","No especifica leves. Graves: inflamación, diarrea grave, pérdida peso, dificultad respiración, ronquera.","No use sustitutos de sal con potasio. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Enalapril,"Presión arterial alta, insuficiencia cardíaca.","5 mg 1 vez/día","40 mg/día","Alergia a componentes, interacción con AINEs/aspirina, enf. cardíaca/renal, lupus, diabetes, lactancia.","Tos, mareos, sarpullido, debilidad. Graves: inflamación, dificultad respiración, ronquera, coloración amarillenta, fiebre.","Consulte antes de usar sustitutos de sal con potasio. Dieta baja en sal."
Cardiovasculares (Antihipertensivos),Captopril,"Hipertensión, insuficiencia cardíaca, supervivencia post-infarto, nefropatía diabética tipo 1.","25 mg 2-3 veces/día","450 mg/día","Alergia a componentes, interacción con AINEs/aspirina/potasio, enf. cardíaca/renal, lactancia.","Mareos, sabor metálico, tos, ritmo acelerado, cansancio. Graves: dolor pecho, hinchazón, urticaria, ronquera, dificultad respiración.","Consulte antes de usar sustitutos de sal con potasio. Dieta baja en sal."
Cardiovasculares (Antihipertensivos),Lisinopril,"Presión arterial alta (≥6 años), insuficiencia cardíaca, mejora supervivencia post-infarto.","10 mg 1 vez/día","40 mg/día","Alergia a componentes, interacción con AINEs/aspirina/potasio, angioedema, enf. cardíaca/renal, diabetes, lactancia.","Tos, mareos, dolor cabeza, cansancio, náuseas, diarrea, disfunción sexual. Graves: dolor pecho, inflamación, ronquera, dificultad respiración.","Consulte antes de usar sustitutos de sal con potasio. Dieta baja en sal."
Cardiovasculares (Antihipertensivos),Ramipril,"Hipertensión, reduce riesgo infarto/ictus/muerte, mejora supervivencia post-infarto con IC.","2.5-10 mg 1 vez/día","10 mg/día","Alergia a componentes, interacción con AINEs/aspirina/potasio, angioedema, enf. cardíaca/hepática/renal, lupus, diabetes.","Dolor cabeza, mareos, tos, molestias estomacales, cansancio. Graves: inflamación, erupción, ronquera, dificultad respiración, fiebre.","Consulte antes de usar sustitutos de sal con potasio. Dieta baja en sal."
Cardiovasculares (Antihipertensivos),Perindopril,"Presión arterial alta.","4 mg 1 vez/día","8 mg/día","Alergia a componentes, interacción con AINEs/potasio, diálisis, IC, lupus, diabetes, angioedema, enf. renal/hepática.","Tos, dolor cabeza, debilidad, mareos. Graves: inflamación, ronquera, dificultad respiración, fiebre, ritmo irregular.","Consulte antes de usar sustitutos de sal con potasio. Dieta baja en sal."
Cardiovasculares (Antihipertensivos),Amlodipino,"Presión arterial alta, ciertos tipos de angina, enfermedad arterial coronaria.","5 mg 1 vez/día","10 mg/día","Alergia a componentes, interacción con otros, insuficiencia cardíaca, enf. renal/hepática, embarazo/lactancia.","Hinchazón manos/pies/tobillos, náuseas, dolor estómago, mareos, somnolencia, enrojecimiento. Graves: dolor pecho, ritmo irregular, desvanecimiento.","Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Nifedipino,"Presión arterial alta, angina.","30-60 mg 1 vez/día","120 mg/día","Alergia a componentes, embarazo/lactancia. Alcohol empeora efectos.","Dolor cabeza, náuseas, mareos, enrojecimiento, acidez, ritmo acelerado, calambres, tos. Graves: hinchazón, dificultad respiración, desmayos.","No comer toronja ni beber su jugo. Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Verapamilo,"Presión arterial alta, angina.","80-120 mg cada 8h","480 mg/día","Alergia a componentes, interacción con otros, obstrucción digestiva, IC, enf. cardíaca/hepática/renal, embarazo/lactancia. Alcohol potencia efectos.","Estreñimiento, acidez, mareos, dolor cabeza. Graves: hinchazón, dificultad respiración, ritmo lento, desmayos, visión borrosa, coloración amarillenta.","Generalmente no es necesario cambiar la dieta."
Cardiovasculares (Antihipertensivos),Diltiazem,"Presión arterial alta, angina.","120-180 mg 1 vez/día","360 mg/día","Alergia a componentes, interacción con otros, infarto, obstrucción digestiva, presión baja, enf. cardíaca/hepática/renal, embarazo/lactancia.","Mareos, enrojecimiento, dolor cabeza, debilidad, ritmo lento, vómitos, diarrea, tos. Graves: hinchazón, dificultad respiración, desmayos, coloración amarillenta.","Dieta baja en sal si indicada."
Cardiovasculares (Antihipertensivos),Hidroclorotiazida,"Presión arterial alta, edema (retención líquidos).","12.5-25 mg 1 vez/día","50 mg/día","Alergia a componentes, interacción con AINEs, enf. renal, diabetes, asma, gota, colesterol alto, embarazo/lactancia. Puede causar mareos.","Diarrea, pérdida apetito, dolor cabeza, pérdida cabello. Graves: signos deshidratación, ampollas, urticaria, dificultad respiración.","Dieta baja en sal o rica en potasio si indicada."
